Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Primary,NonSaudi,Female,2017 Q1,1590,SAR
Primary,NonSaudi,Male,2017 Q1,2173,SAR
Primary,Saudi,Female,2017 Q1,4172,SAR
Primary,Saudi,Male,2017 Q1,6172,SAR
Primary,NonSaudi,Female,2017 Q2,1597,SAR
Primary,NonSaudi,Male,2017 Q2,2213,SAR
Primary,Saudi,Female,2017 Q2,3875,SAR
Primary,Saudi,Male,2017 Q2,5957,SAR
Primary,NonSaudi,Female,2017 Q3,1596,SAR
Primary,NonSaudi,Male,2017 Q3,2250,SAR
Primary,Saudi,Female,2017 Q3,3955,SAR
Primary,Saudi,Male,2017 Q3,5958,SAR
Primary,NonSaudi,Female,2017 Q4,1576,SAR
Primary,NonSaudi,Male,2017 Q4,2114,SAR
Primary,Saudi,Female,2017 Q4,4191,SAR
Primary,Saudi,Male,2017 Q4,6409,SAR
Primary,NonSaudi,Female,2018 Q1,1588,SAR
Primary,NonSaudi,Male,2018 Q1,2181,SAR
Primary,Saudi,Female,2018 Q1,4165,SAR
Primary,Saudi,Male,2018 Q1,5978,SAR
Primary,NonSaudi,Female,2018 Q2,1509,SAR
Primary,NonSaudi,Male,2018 Q2,2047,SAR
Primary,Saudi,Female,2018 Q2,4063,SAR
Primary,Saudi,Male,2018 Q2,5901,SAR
Primary,NonSaudi,Female,2018 Q3,1577,SAR
Primary,NonSaudi,Male,2018 Q3,2128,SAR
Primary,Saudi,Female,2018 Q3,4324,SAR
Primary,Saudi,Male,2018 Q3,6845,SAR
Primary,NonSaudi,Female,2018 Q4,1497,SAR
Primary,NonSaudi,Male,2018 Q4,2141,SAR
Primary,Saudi,Female,2018 Q4,4475,SAR
Primary,Saudi,Male,2018 Q4,6448,SAR
Primary,NonSaudi,Female,2019 Q1,1566,SAR
Primary,NonSaudi,Male,2019 Q1,2233,SAR
Primary,Saudi,Female,2019 Q1,4584,SAR
Primary,Saudi,Male,2019 Q1,6276,SAR
Primary,NonSaudi,Female,2019 Q2,1631,SAR
Primary,NonSaudi,Male,2019 Q2,2349,SAR
Primary,Saudi,Female,2019 Q2,4734,SAR
Primary,Saudi,Male,2019 Q2,6632,SAR
Primary,NonSaudi,Female,2019 Q3,1687,SAR
Primary,NonSaudi,Male,2019 Q3,2260,SAR
Primary,Saudi,Female,2019 Q3,4569,SAR
Primary,Saudi,Male,2019 Q3,6275,SAR
Primary,NonSaudi,Female,2019 Q4,1595,SAR
Primary,NonSaudi,Male,2019 Q4,2284,SAR
Primary,Saudi,Female,2019 Q4,4538,SAR
Primary,Saudi,Male,2019 Q4,6539,SAR
Primary,NonSaudi,Female,2020 Q1,1633,SAR
Primary,NonSaudi,Male,2020 Q1,2300,SAR
Primary,Saudi,Female,2020 Q1,4541,SAR
Primary,Saudi,Male,2020 Q1,6187,SAR
Primary,NonSaudi,Female,2020 Q2,1449,SAR
Primary,NonSaudi,Male,2020 Q2,2140,SAR
Primary,Saudi,Female,2020 Q2,4441,SAR
Primary,Saudi,Male,2020 Q2,6556,SAR
Primary,NonSaudi,Female,2020 Q3,1501,SAR
Primary,NonSaudi,Male,2020 Q3,2162,SAR
Primary,Saudi,Female,2020 Q3,4982,SAR
Primary,Saudi,Male,2020 Q3,6417,SAR
Primary,NonSaudi,Female,2020 Q4,1331,SAR
Primary,NonSaudi,Male,2020 Q4,2101,SAR
Primary,Saudi,Female,2020 Q4,4129,SAR
Primary,Saudi,Male,2020 Q4,6518,SAR
Primary,NonSaudi,Female,2021 Q1,1384,SAR
Primary,NonSaudi,Male,2021 Q1,1869,SAR
Primary,Saudi,Female,2021 Q1,4047,SAR
Primary,Saudi,Male,2021 Q1,5686,SAR
Primary,NonSaudi,Female,2021 Q2,1398,SAR
Primary,NonSaudi,Male,2021 Q2,1921,SAR
Primary,Saudi,Female,2021 Q2,3970,SAR
Primary,Saudi,Male,2021 Q2,5891,SAR
Secondary,NonSaudi,Female,2017 Q1,3068,SAR
Secondary,NonSaudi,Male,2017 Q1,3032,SAR
Secondary,Saudi,Female,2017 Q1,5124,SAR
Secondary,Saudi,Male,2017 Q1,8378,SAR
Secondary,NonSaudi,Female,2017 Q2,1984,SAR
Secondary,NonSaudi,Male,2017 Q2,2953,SAR
Secondary,Saudi,Female,2017 Q2,5453,SAR
Secondary,Saudi,Male,2017 Q2,8442,SAR
Secondary,NonSaudi,Female,2017 Q3,2396,SAR
Secondary,NonSaudi,Male,2017 Q3,3071,SAR
Secondary,Saudi,Female,2017 Q3,5515,SAR
Secondary,Saudi,Male,2017 Q3,8656,SAR
Secondary,NonSaudi,Female,2017 Q4,1935,SAR
Secondary,NonSaudi,Male,2017 Q4,3031,SAR
Secondary,Saudi,Female,2017 Q4,5162,SAR
Secondary,Saudi,Male,2017 Q4,8606,SAR
Secondary,NonSaudi,Female,2018 Q1,2563,SAR
Secondary,NonSaudi,Male,2018 Q1,3019,SAR
Secondary,Saudi,Female,2018 Q1,5007,SAR
Secondary,Saudi,Male,2018 Q1,8752,SAR
Secondary,NonSaudi,Female,2018 Q2,1947,SAR
Secondary,NonSaudi,Male,2018 Q2,2838,SAR
Secondary,Saudi,Female,2018 Q2,5242,SAR
Secondary,Saudi,Male,2018 Q2,8873,SAR
Secondary,NonSaudi,Female,2018 Q3,1796,SAR
Secondary,NonSaudi,Male,2018 Q3,2852,SAR
Secondary,Saudi,Female,2018 Q3,5230,SAR
Secondary,Saudi,Male,2018 Q3,9103,SAR
Secondary,NonSaudi,Female,2018 Q4,1980,SAR
Secondary,NonSaudi,Male,2018 Q4,2933,SAR
Secondary,Saudi,Female,2018 Q4,5814,SAR
Secondary,Saudi,Male,2018 Q4,9102,SAR
Secondary,NonSaudi,Female,2019 Q1,2045,SAR
Secondary,NonSaudi,Male,2019 Q1,3029,SAR
Secondary,Saudi,Female,2019 Q1,5355,SAR
Secondary,Saudi,Male,2019 Q1,9082,SAR
Secondary,NonSaudi,Female,2019 Q2,2095,SAR
Secondary,NonSaudi,Male,2019 Q2,3053,SAR
Secondary,Saudi,Female,2019 Q2,5647,SAR
Secondary,Saudi,Male,2019 Q2,9109,SAR
Secondary,NonSaudi,Female,2019 Q3,2046,SAR
Secondary,NonSaudi,Male,2019 Q3,3114,SAR
Secondary,Saudi,Female,2019 Q3,5744,SAR
Secondary,Saudi,Male,2019 Q3,9023,SAR
Secondary,NonSaudi,Female,2019 Q4,2120,SAR
Secondary,NonSaudi,Male,2019 Q4,3045,SAR
Secondary,Saudi,Female,2019 Q4,5223,SAR
Secondary,Saudi,Male,2019 Q4,9044,SAR
Secondary,NonSaudi,Female,2020 Q1,2164,SAR
Secondary,NonSaudi,Male,2020 Q1,3072,SAR
Secondary,Saudi,Female,2020 Q1,5886,SAR
Secondary,Saudi,Male,2020 Q1,8940,SAR
Secondary,NonSaudi,Female,2020 Q2,2048,SAR
Secondary,NonSaudi,Male,2020 Q2,2815,SAR
Secondary,Saudi,Female,2020 Q2,5310,SAR
Secondary,Saudi,Male,2020 Q2,8619,SAR
Secondary,NonSaudi,Female,2020 Q3,1918,SAR
Secondary,NonSaudi,Male,2020 Q3,2963,SAR
